name,artist,vibes,tempo,loudness,energy,danceability,key,mode,duration
Situations,Bravehearts featuring Nas and Jully Black,hip hop east coast hip hop pop rap breakbeat rap hardcore rap east coast rap gangsta new york united states,92.96,-7.6,0.0,0.0,10,0,221.0
Directions to my special place,themselves,experimental pop alternative hip hop massachusetts karaoke underground rap straight edge experimental rock bluegrass hip hop post rock,95.78,-13.28,0.0,0.0,9,0,274.1
Mesmerized,Miguel Migs,progressive house chill-out deep house nu jazz vocal house nu-soul funky house club tech house trip hop,125.0,-4.59,0.0,0.0,9,1,342.6
Hold Up My Heart,Brooke White,pop rock easy listening singer-songwriter female vocalist pop folk guitar rock acoustic american,89.67,-8.02,0.0,0.0,2,1,233.8
Apologize,DJ Nasty,bass music electro techno hip hop italian disco freestyle jungle music ghetto tech electronic breakbeat,86.66,-3.17,0.0,0.0,6,1,231.1
Silver Bells,John Davis,jazz fusion downtempo hip hop italian disco roots rock pop rap chanson electro jazz funk,88.99,-12.92,0.0,0.0,9,1,199.3
Better Days,Colin James,blues blues-rock ballad big band classic rock contemporary blues modern electric blues rock jazz male vocalist,154.55,-8.88,0.0,0.0,5,1,280.1
Red (Main Version),Motograter,post-grunge alternative metal nu metal industrial metal tribal house groove metal industrial rock neofolk heavy metal gothic metal,143.93,-4.83,0.0,0.0,5,1,226.9
Nude With Boots,Melvins,sludge metal grunge alternative metal stoner rock doom metal heavy metal rock metal punk alternative,113.39,-7.62,0.0,0.0,2,1,217.8
Laser Show (LP Version),Fountains Of Wayne,power pop indie pop alternative rock indie rock pop rock country new york pop underground soundtrack,115.69,-5.76,0.0,0.0,9,0,144.7
Cry_ Cry_ Cry,Hushabye Baby,country ambient instrumental,74.98,-18.58,0.0,0.0,5,1,171.9
Ni Shi Wo Xin Zhong Yi Ju Jing Tan,Elva Hsiao,j pop national socialist black metal chinese music ballad symphonic metal pop rock dancehall reggae heavy metal female vocalist,122.9,-5.73,0.0,0.0,5,1,225.6
Crushing Belial,Shadows Fall,power metal hardcore punk heavy metal death metal rock metal hardcore massachusetts thrash metal hard rock,194.24,-7.74,0.0,0.0,2,0,325.2
Here The Sun Never Shines,The Funeral Pyre,blackened death metal death core black metal melodic death metal melodic black metal crunk death metal metalcore doom metal art rock,227.3,-5.59,0.0,0.0,10,0,271.2
God Of Love (Album Version),Bad Brains,hardcore punk reggae hard rock rock punk american underground american punk washington dc dub heavy metal,105.45,-5.66,0.0,0.0,7,1,163.2
Waltzing Matilda My Darling,Maria Forde,los angeles melbourne seattle indie lounge portland hip hop dance fresh funny,119.28,-16.14,0.0,0.0,3,1,325.8
Pipopapo Telpathy,An Cafe,dance rock,150.03,-4.19,0.0,0.0,1,0,210.8
How Y' All Doin',Kyle Eastwood,hard bop latin jazz acid jazz easy listening future jazz smooth jazz jazz contemporary jazz post-bop electronic,100.17,-14.23,0.0,0.0,4,0,207.2
Crackbabies,Urge Overkill,hard rock grunge blues-rock post-grunge glam rock celtic power pop christian rock soundtrack rock,152.47,-6.15,0.0,0.0,4,0,243.2
Once,Harry Connick_ Jr.,rock pop metal arena rock ballad hard rock soundtrack acoustic classic song writer,60.88,-17.67,0.0,0.0,0,1,364.6
Go On,JK,dance music eurodance hip hop rap female vocalist jazz 90s 00s punk electronic,131.99,-10.75,0.0,0.0,0,1,343.6
Rules of Attraction (Chris Cox),Tina Ann,progressive house hard trance teen pop dance pop progressive trance deep house trance dance techno electronic,127.93,-2.62,0.0,0.0,9,1,251.8
I'm A Chicken Head (Skit),Cam'Ron,hip hop rap new york hardcore rap east coast rap pop urban underground soul classic,110.06,-19.67,0.0,0.0,6,1,86.0
Fear of Girls (Live in Croatia_ 1993),U.K. Subs,oi punk british punk rock hardcore punk ska rock classic rock thrash metal progressive rock street punk,103.97,-14.62,0.0,0.0,4,1,116.2
Knucklebuster,Chet Atkins,honky tonk smooth jazz rockabilly traditional country country pop classic country bluegrass space age pop country rock blues,96.03,-11.52,0.0,0.0,4,1,319.5
Nobody But Me - Original,Dee Clark,doo-wop blues-rock german pop disco ballad blues pop rock chicago soul rock 'n roll southern soul,130.85,-24.35,0.0,0.0,2,0,138.8
Hard Not 2 Kill (Explicit),Fat Joe,gangster rap rap hip hop hardcore rap east coast rap new york beats pop rock soul,77.56,-5.72,0.0,0.0,7,1,174.7
Les Tous Petits Details,Julien Clerc,chanson ballad pop disco blues-rock italian disco europop pop rock easy listening french pop,203.0,-10.61,0.0,0.0,7,1,146.2
La Blonde de Pékin,Annie Philippe,chanson pop rock garage rock oldies rock pop female vocalist lounge french 60s,109.1,-7.78,0.0,0.0,6,1,167.7
I Wanna Sing (Autobiography Album Version),Scott Krippayne,ccm pop piano spiritual jazz christian american contemporary christian male vocalist christmas music,122.1,-7.36,0.0,0.0,8,1,234.9
Downtown (Album Version),Crazy Horse,country rock hard rock folk rock western swing rock 'n roll alternative country southern rock glam rock soft rock blues-rock,146.47,-11.53,0.0,0.0,9,1,195.4
Lost In Translation,Pitch Black,chill-out dub dubstep hip hop thrash metal downtempo drum and bass electronica california melodic death metal,120.0,-10.19,0.0,0.0,10,0,398.6
We Made It [Instrumental],Busta Rhymes feat. Linkin Park,hip hop rap hardcore rap east coast rap alternative rap brooklyn new york classic underground beats,92.34,-6.89,0.0,0.0,1,0,238.2
Ett Norrskensdåd,Finntroll,heavy metal viking metal folk rock black metal progressive trance folk metal humppa jungle music melodic black metal symphonic metal,95.03,-5.06,0.0,0.0,10,1,214.3
Restless Spirits (World),R. Carlos Nakai,chamber jazz meditation chill-out jazz smooth jazz ambient flamenco mariachi neoclassical celtic,203.74,-21.31,0.0,0.0,1,1,170.8
Manzenera,Adam Ant,pop rock new wave dance rock rock new romantic europop beat british pop louisiana blues gothic rock,136.18,-11.59,0.0,0.0,1,1,203.5
Cunoasterea Tacuta,Negura Bunget,black metal dark ambient folk rock folk metal rock avantgarde metal sympho black metal ambient black metal extreme metal folk,130.84,-5.27,0.0,0.0,11,0,431.7
Dinosaur Bones,Showbread,post-hardcore christian hardcore rock 'n roll southern rock disco screamo hard rock christian rock alternative metal emo,112.73,-4.79,0.0,0.0,7,1,264.0
Vida De Mi Vida,Banda La Bocana,merengue rumba hard trance trance latin electronic house spain mexico tropical,106.69,-6.61,0.0,0.0,10,0,207.0
The Carrying Arms,The Antlers,chamber pop dream pop shoegaze indie rock folk ambient electronic brooklyn guitar acoustic,150.31,-17.62,0.0,0.0,7,1,108.0
Love Don't Love Me (Justin Timberlake) (Amended Version),Justin Timberlake,rock urban pop teen pop jazz sexy party music smooth male group,86.96,-7.76,0.0,0.0,1,1,261.3
Jam-Master Jammin',RUN-DMC,hip hop old school hip hop east coast rap rap hardcore rap hard rock rap rock gangster rap rapcore eurodance,99.95,-14.28,0.0,0.0,1,1,260.0
I got A Woman,Eddie Boyd,chicago blues blues-rock piano blues electric blues delta blues blues r&b country blues harmonica blues louisiana blues,110.14,-15.92,0.0,0.0,2,1,291.8
We Blame Love,Heaven 17,new romantic dance rock italian disco new wave electronic electro disco progressive house pop rock europop,133.06,-10.03,0.0,0.0,7,1,287.4
Medley: Safe To The Rock / Hiding In Thee,George Hamilton IV,country gospel country rock classic country ballad blues-rock southern rock chanson oldies soft rock pop rock,187.04,-16.85,0.0,0.0,5,1,323.2
Peace Dance,Terry Riley,free improvisation cool jazz minimal music electronic free jazz united states minimal kraut rock improvisational serialism,95.07,-16.39,0.0,0.0,6,0,349.2
Angel,Julio Iglesias Jr,j pop tech house dancehall hip hop downtempo electronic pop house reggae latin,150.07,-7.23,0.0,0.0,3,1,252.1
The Christmas Song  (LP Version),Nicole Mullen,ccm funk soft rock pop rock ballad art rock nu metal pop hip hop alternative rock,94.01,-14.42,0.0,0.0,2,0,195.0
Comfortubly Numb,Big One,art rock classic rock hard rock rock pop london england album rock progressive rock experimental rock,128.5,-6.26,0.0,0.0,11,0,499.7
Between You And Me,Joy Enriquez,tribal house dance pop hip hop r&b ballad progressive house soft rock pop rock latin dance,96.09,-3.94,0.0,0.0,10,1,261.0
Why Baby Why,Hank Locklin,honky tonk country rock ballad chanson classic country soft rock blues-rock pop rock country blues pop rap,150.44,-11.37,0.0,0.0,7,1,143.8
Gracieusette,Gus Viseur,gypsy jazz chanson jazz hard bop musette easy listening cool jazz ragtime swing bossa nova,225.81,-13.96,0.0,0.0,9,1,157.5
Adios_ Amigos! (2003 Digital Remaster),J. Karjalainen & Mustat Lasit,suomi rock europop pop rock rock folk alternative rock blues hard rock acoustic country,70.8,-12.37,0.0,0.0,0,1,169.7
Phillippe,James Newton Howard,instrumental pop soundtrack folk rock downtempo chill-out r&b film music pop rock easy listening classical,141.23,-32.24,0.0,0.0,1,1,89.1
La Chola Caderona,Sonora Carruseles,salsa latin jazz rumba world music hip hop jazz latin dance world spanish,76.8,-3.93,0.0,0.0,5,0,295.3
10000 Km,La Portuaria,disco pop rock soundtrack funk rock argentina rock argentina latin rock en espanol pop,96.0,-4.69,0.0,0.0,1,1,250.4
Ongoing Plague,Malefaction,grindcore hardcore punk metalcore punk hardcore grind rock canadian canada chaotic - hardcore,137.79,-4.65,0.0,0.0,9,0,139.2
Sad Girl (Single Mix),The Stems,power pop garage rock jangle pop indie pop rock indie rock garage emo electro pop,147.85,-12.97,0.0,0.0,7,0,200.5
Oops!...I Did It Again,Britney Spears,dance pop teen pop pop rock electropop adult contemporary ballad pop r&b female vocalist club,95.07,-5.21,0.0,0.0,11,1,211.0
Half As Much,Gene Autry,classic country western swing traditional country oldies bluegrass cowboy christmas music honky tonk country male vocalist,142.86,-17.07,0.0,0.0,10,1,148.2
Bliv Du Till Gran (If You Became A Spruce),Groupa,neofolk folk rock world music folk swedish scandinavian folk world scandinavia country rock,85.55,-10.68,0.0,0.0,4,0,229.6
Final Straw (Album Version),R.E.M.,jangle pop alternative rock rock pop alternative college rock garage rock california classic rock punk,107.55,-7.53,0.0,0.0,0,1,246.2
Damn those eyes,Kane,blues-rock southern rock soft rock nederpop country rock progressive trance easy listening rap drum and bass pop rock,192.48,-11.59,0.0,0.0,6,1,422.7
You've Got A Friend,Kathy Troccoli,ccm pop rock united states hip hop female vocalist alternative rock adult contemporary christian gospel jazz,88.55,-14.01,0.0,0.0,6,1,282.2
Jesus Is Gonna Make Up My Dying Bed,Josh White,delta blues country blues bluegrass piedmont blues blues folk rock louisiana blues ragtime texas blues chicago blues,90.03,-20.85,0.0,0.0,7,0,181.0
Skin Ticket (Live version) (Album Version),Slipknot,rap metal alternative metal nu metal alternative rock metal rock pop speed metal heavy metal death metal,146.58,-3.35,0.0,0.0,9,1,363.7
Enchanted Garden,Paul Taylor,smooth jazz nu jazz goa world jazz electronic soundtrack trance psychedelic trance contemporary jazz,66.41,-4.25,0.0,0.0,0,0,275.5
Lawyer Clark Blues,Sleepy John Estes,country blues delta blues memphis blues piedmont blues blues chicago blues ragtime louisiana blues texas blues smooth jazz,85.19,-19.3,0.0,0.0,8,1,190.3
If Today Was Your Last Day (Album Version),Nickelback,alternative metal post-grunge alternative rock rock pop canada soundtrack hard rock guitar heavy,89.96,-4.16,0.0,0.0,10,0,248.1
Outubro,Irtio,celtic los angeles gaita disco world music folk fusion world portugal roots,100.02,-11.31,0.0,0.0,2,1,333.7
Magali,Gloria Lasso,europop chanson pop rock downtempo latin jazz latin pop rock french pop,94.35,-10.59,0.0,0.0,11,1,200.6
Night Terrors (Album Version),Static-X,industrial metal nu metal rock industrial metal alternative soundtrack heavy metal thrash metal death metal,120.54,-3.29,0.0,0.0,5,0,189.1
Piracy,Tanya Chua,mandarin pop ballad easy listening emo indie pop singer-songwriter female vocalist pop chinese acoustic,154.98,-4.23,0.0,0.0,7,1,210.9
The Story Goes On,The Steeles,southern gospel r&b religious music disco classic rock funk hip hop spiritual electronic gospel,49.15,-10.73,0.0,0.0,7,1,261.0
East to West,Starski and Clutch,ghetto tech electro techno electronic detroit bass chicago miami,151.86,-6.4,0.0,0.0,1,0,291.0
Tu Mejor Amigo,David Summers,pop spanish 00s spain latin spanish pop latin music spanish music spanish lyrics soloist,142.43,-3.24,0.0,0.0,9,1,213.3
You Never Wash Up After Yourself (Live),Radiohead,british pop experimental rock rock england indietronica grunge electronica alternative rock electronic jazz,87.28,-21.34,0.0,0.0,0,1,102.5
Main Street Eyes,Iggy Pop,hard rock singer-songwriter protopunk album rock soundtrack punk blues jazz garage rock classic,131.81,-11.28,0.0,0.0,9,1,221.4
Misty Blue,Billie Jo Spears,classic country motown oldies rockabilly traditional country country pop country united states female vocalist singer-songwriter,101.63,-15.34,0.0,0.0,5,1,159.8
Can't Make You Love Me,Britney Spears,dance pop teen pop pop rock electropop adult contemporary ballad pop r&b female vocalist club,107.97,-3.69,0.0,0.0,0,0,196.8
So Danco Samba (Jazz 'N' Samba) (1997 Digital Remaster),Wanda De Sah,samba bossa nova jazz female vocalist brazilian brazil latin lusofonia 60s experimental,182.97,-17.66,0.0,0.0,10,0,133.5
El Gatito,Los Cumbieros Del Sur,charanga chorus cumbia los angeles latin mexico disco tropical 80s america,159.53,-6.06,0.0,0.0,4,0,186.9
Abu-Pia,Papa Wemba,soukous afrobeat congo world beat zouk neofolk trip hop reggae deep house world music,136.44,-6.61,0.0,0.0,5,1,406.6
The Original Colossal Drag Rag,The Even Dozen Jug Band,jug band folk-pop los angeles opera orchestra folk french vocal folk revival dance,132.58,-9.44,0.0,0.0,7,1,176.0
Oh ! Tannenbaum,Bimbo Band,reggaeton disco hip hop spanish latin electronic rock indie indonesia united states,85.01,-13.11,0.0,0.0,2,1,85.1
As Nice As I Can Be,Eagles Of Death Metal,stoner rock garage rock hard rock alternative rock indie rock rock alternative stoner indie garage,144.4,-3.09,0.0,0.0,1,1,225.5
The People You Care For,John Ottman,acid jazz jazz gangster rap classical trip hop easy listening soundtrack rock grunge hip hop,61.59,-13.52,0.0,0.0,2,1,205.9
Superman,Unwritten Law,post-grunge power pop pop punk pop rock melodic hardcore christian rock industrial metal alternative metal modern rock british pop,201.27,-5.24,0.0,0.0,2,1,216.8
American Lovebite,Dons,rock 'n roll power pop rock electronic house pop latvia boston world united states,132.2,-6.57,0.0,0.0,0,1,200.5
Imaginary Love,Mae West,modern rock garage rock ragtime smooth jazz vaudeville easy listening rock texas blues cabaret country blues,81.88,-23.04,0.0,0.0,7,1,174.5
I hit You Wit The Pepper,Messy Marv,gangster rap hip hop hyphy hardcore rap freestyle rap club west coast rap california gangsta,165.98,-5.28,0.0,0.0,8,1,199.3
Les Deux Guitares,Jean Ferret,gypsy jazz chanson jazz tango musette easy listening swing latin world music ska,124.09,-16.53,0.0,0.0,2,0,172.6
Release,LORE,trip hop nu metal british pop dark wave electropop gothic rock heavy metal soundtrack downtempo rock,125.98,-10.79,0.0,0.0,3,0,297.2
The Song of the Riddles,Willie Clancy,disco electro progressive house gaita celtic tech house deep house funk electronic house,202.27,-20.73,0.0,0.0,9,1,221.7
Lost Love,Barry Goldberg,easy listening blues soundtrack original score rock fox guitar world groove groovy,96.17,-11.63,0.0,0.0,7,1,265.6
Espoirs Perdus (Valse),Jo Privat,gypsy jazz chanson jazz tango musette easy listening swing latin world music ska,196.45,-11.11,0.0,0.0,2,0,164.4
Fair Enough (LP Version),Beth Nielsen Chapman,singer-songwriter female vocalist rock pop country acoustic female song writer relax contemporary country,119.99,-11.17,0.0,0.0,6,0,220.1
Where You Belong,The Summer Obsession,pop punk pop rock emo soft rock power pop alternative rock punk indie rock hard rock hip hop,79.94,-6.33,0.0,0.0,0,1,282.0
Just Like Darts,The Real Kids,power pop garage rock pop rock rock punk psychobilly new wave psychedelic rock folk rock classic rock,104.78,-12.43,0.0,0.0,4,0,263.8
When Your Ready,Dabbler,ragga jungle jungle music drum and bass party music female vancouver remix contemporary united states pretty,0.0,-6.15,0.0,0.0,11,0,314.6
An M'agapas,Konstantinos Galanos,greek,75.53,-5.27,0.0,0.0,4,0,226.5
Kun rakastaa,Frederik,tech house hardstyle hard trance deep house progressive house humppa hard house eurodance disco progressive trance,174.68,-9.61,0.0,0.0,1,1,179.9
Trio in G minor for piano_ violin_ and 'cello Op. 17: Andante,Double Image,marimba jazz classic rock blues classical contemporary ambient rock instrumental avant-garde,135.09,-25.2,0.0,0.0,7,1,348.4
North American Ballads: No. 2 - Which Side Are You On?,David Jalbert,los angeles french pop quebec piano romantic classical beautiful composer soulful,151.72,-21.17,0.0,0.0,10,1,555.0
Savin' Me,Nickelback,alternative metal post-grunge alternative rock rock pop canada soundtrack hard rock guitar heavy,164.03,-4.28,0.0,0.0,0,0,217.6
Big Girl Blues,Danny Barnes,progressive bluegrass alternative country bluegrass texas blues freestyle country rock cowpunk country blues indie rock folk rock,83.28,-12.43,0.0,0.0,4,1,169.5
Please Jesus_ Send Me Someone To Fuck,All Leather,digital hardcore dance-punk punk experimental hardcore club digicore guitar swing raw,145.86,-7.33,0.0,0.0,5,1,121.1
Tracy,Goldfish,chill-out experimental pop new beat techno acid jazz nu jazz downtempo trance electro electronic,104.03,-8.21,0.0,0.0,11,0,172.6
Flute,Les Ogres De Barback,chanson gypsy jazz chill-out musette ska melodic death metal folk rock easy listening world music dub,71.08,-11.61,0.0,0.0,0,0,247.3
Turn It Around,Tony Matterhorn,reggaeton dancehall bass music reggae raga electronic dj bashment caribbean deejay,135.0,-7.89,0.0,0.0,10,0,207.0
Ain't Gone 'N' Give Up On Love,Stevie Ray Vaughan And Double Trouble,texas blues blues blues-rock modern electric blues rock electric texas blues guitar instrumental jam acoustic,150.58,-12.08,0.0,0.0,1,1,368.6
The New Girl,Javier Navarrete,orchestra chill-out soundtrack modern classical classical electronic composer instrumental contemporary classical music ost,98.08,-26.84,0.0,0.0,5,0,78.1
Hot Wire [Live Version],Kix,heavy metal hard rock glam metal glam rock hair metal garage rock rock classic rock pop metal 80s,196.87,-13.88,0.0,0.0,1,0,366.6
All I Really Want,Premiums,concerto orchestra symphony string sonata violin waltz classical chamber music requiem,120.18,-3.59,0.0,0.0,11,0,173.6
I Get My Paper,Cassidy featuring Swizz Beatz,pop rap hip hop rap pop rock east coast rap philadelphia smooth soul classic,104.09,-4.95,0.0,0.0,10,0,280.7
Marbles,Spunk,free improvisation funk indie rock jazz avant-garde norway improvisational rock soul experimental,118.72,-14.11,0.0,0.0,1,1,139.2
Har vi råd att i dagens läge ha kvar våra vänner i socialgrupp 3?,Gösta Ekman / Tage Danielsson,vaudeville electronic electro abstract 80s swedish 70s comedy 90s 60s,79.42,-21.49,0.0,0.0,7,1,220.8
Rock Steady,Bad Company,blues-rock hard rock classic rock rap rock album rock arena rock ballad guitar classic,97.7,-7.84,0.0,0.0,2,1,249.8
Fat Albert's Car,Bill Cosby,comedy funk stand-up comedy rap parody disco blues soul jazz oldies,70.53,-17.32,0.0,0.0,8,1,498.3
Turn Your Eyes Upon Jesus,Kathy Troccoli,ccm pop rock united states hip hop female vocalist alternative rock adult contemporary christian gospel jazz,92.2,-20.73,0.0,0.0,9,1,194.0
Cielito lindo,Mariachi Silvestre Vargas,mariachi latin mexico los angeles california traditional dance instrumental mexican uplifting,88.46,-12.88,0.0,0.0,7,1,186.1
For All We Know,Ann Hampton Callaway,vocal jazz easy listening blues jazz female vocalist hip hop singer-songwriter jazz vocal standard vocal,206.98,-16.66,0.0,0.0,3,1,304.7
Game Night (Album Version),Bill Engvall,comedy stand-up comedy humorous spoken word funny comedian male country sexy male vocalist,94.5,-9.61,0.0,0.0,2,1,170.5
Knowing You'll Be There,Gaither Vocal Band,ccm southern gospel christian music close harmony united states christian male vocalist gospel contemporary gospel christmas music,85.1,-9.89,0.0,0.0,6,1,276.7
So(u)l Invictus,Nightfall,doom metal death metal heavy metal sympho black metal black metal melodic black metal gothic metal rock melodic death metal smooth jazz,105.06,-4.67,0.0,0.0,7,0,190.9
Leskiäidin tyttäret,The Avengers,rock garage rock punk new wave hardcore punk indie rock united states female vocalist metal california,185.25,-11.01,0.0,0.0,3,1,122.0
Zearocks (LP Version),Leaders Of The New School,hip hop alternative hip hop beat old school hip hop rap east coast rap hardcore rap funk underground hip hop techno,101.87,-9.2,0.0,0.0,11,1,84.7
Put On Your Rubbers,Fast Eddie,hip house hard house chicago house tribal house new beat deep house hip hop tech house progressive house electronic,181.74,-5.27,0.0,0.0,7,1,97.3
La polka des grenouilles,Serge Desaunay,gypsy jazz musette jazz los angeles swing folk country world improvisational,131.84,-5.99,0.0,0.0,0,1,127.8
Il fait déjà (Live),Claire Elzière,indie french pop,97.67,-17.47,0.0,0.0,10,1,235.5
Milkcow Blues (Album Version),We Five,close harmony latin jazz pop rock easy listening folk rock oldies california rock jazz singer-songwriter,66.37,-15.7,0.0,0.0,0,1,259.6
You Were The One (Wide Wide World Album Version),Erin O'Donnell,ccm religious music soft rock pop rock singer-songwriter female vocalist rock alternative rock pop indie,96.13,-6.74,0.0,0.0,9,0,247.7
I Won't Lie,The Twinkle Brothers,roots reggae reggae dub lovers rock downtempo jamaica roots electronic soul 70s,130.52,-11.05,0.0,0.0,7,0,204.1
The Four Big Ones (Essential Authors And Works),Black Debbath,blues metal comedy classic rock rock political humorous funny guitar stoner,124.45,-6.41,0.0,0.0,5,1,265.7
MY HERIONE (Acoustic Version),Silverstein,post-hardcore screamo emo hardcore punk revival rock acoustic emotional pop metal,150.13,-7.9,0.0,0.0,7,1,214.0
Becoming (LP Version),Lennie Tristano,free jazz cool jazz jazz bebop ragtime piano blues free improvisation requiem blues post-bop,200.88,-15.32,0.0,0.0,0,0,271.3
Le système solaire,SANSHIRO,los angeles massachusetts california french pop chanson,140.14,-6.15,0.0,0.0,11,0,269.3
Quiero Ser Tu Sueño,Andy & Lucas,flamenco deep house goregrind salsa romantica salsa rumba technical death metal brutal death metal screamo grindcore,96.0,-5.12,0.0,0.0,0,1,207.6
Scrap,Tin Hat Trio,chamber jazz cabaret chamber music jazz bluegrass nu jazz chill-out j pop polka tango,86.83,-15.41,0.0,0.0,0,1,44.6
2 Late 4 Goodbyes,Jeff Scott Soto,symphonic rock neo classical metal hard rock heavy metal power metal folk rock black metal classic rock rock death metal,124.84,-4.8,0.0,0.0,11,1,302.0
Hundre År Gammal,Khold,black metal rock groove metal avantgarde metal stoner rock death metal doom metal heavy metal grindcore norway,89.06,-3.02,0.0,0.0,9,1,207.9
Stick Out,Melt Banana,noise rock hard rock j pop no wave noise pop visual kei experimental rock math rock noise screamo,107.45,-8.35,0.0,0.0,11,0,42.3
Harmony Of The Forest,Kitaro,chill-out symphonic rock new age ambient electronic neoclassical meditation downtempo easy listening soundtrack,98.76,-18.18,0.0,0.0,1,0,382.5
Jiggle Once And Wait (Album Version),Dan Cummins,united states comedy stand-up comedy guitar house original,80.93,-13.64,0.0,0.0,8,1,169.1
Too Many Choices,Bad Azz,gangster rap hip hop g funk hardcore rap rap west coast rap beat underground hip hop west coast game,96.04,-6.67,0.0,0.0,10,0,285.9
All Time Low (Album Version),Grey Area,future jazz trip hop downtempo dub chill-out electronic progressive trance melodic hardcore ambient pop punk,127.22,-5.73,0.0,0.0,4,1,189.3
It Took A Good Woman [Edited Demo],Tiny Tim,cabaret vaudeville classic rock ballad folk rock rock outsider music reggae soul jazz chamber pop,88.86,-15.23,0.0,0.0,6,1,140.1
Still,Jennifer Lopez,dance pop pop latin urban latin pop ballad club rap singer vocal,95.65,-5.05,0.0,0.0,11,1,220.6
Ask The Angels,The Distillers,grunge punk rock california street punk alternative pop rock punk revival hardcore punk guitar alternative,140.82,-4.8,0.0,0.0,8,1,191.0
House Of Pain,Van Halen,heavy metal hard rock rock album rock soundtrack blues singer heavy metal guitar,200.52,-12.06,0.0,0.0,4,1,199.1
Vacation Rain (Album),Sister Hazel,post-grunge southern rock chill-out soft rock alternative dance country rock alternative rock pop rock grunge trip hop,100.03,-7.13,0.0,0.0,9,1,231.4
The Child Deirdre,Mychael Danna & Jeff Danna,celtic irish folk jig easy listening ambient neoclassical irish soundtrack jazz instrumental,121.19,-15.23,0.0,0.0,4,0,244.6
Locaccmaccam,Marc Perrone,musette gypsy jazz chanson jazz folk french country world swing pop,207.15,-17.32,0.0,0.0,0,1,142.9
Sense,Beherit,illbient black metal death metal rock dark ambient rock 'n roll ambient black metal psychobilly trip hop ska punk,111.12,-20.66,0.0,0.0,11,1,625.6
You'll Never Find,The Impressions,chicago soul northern soul r&b motown doo-wop soul beach music chill-out southern soul rock,122.51,-11.77,0.0,0.0,11,0,281.7
I'm On Your Tail,Paul Carrack,blue-eyed soul soft rock new wave pop rock soul adult contemporary easy listening classic rock rock soundtrack,99.96,-11.38,0.0,0.0,0,0,375.0
Byal ravnec,Lot Lorien,ballad neofolk world music trance jazz female vocalist folk world acoustic world fusion,160.21,-8.68,0.0,0.0,5,0,368.2
Slut [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973],Big Star,power pop folk rock classic rock pop rockabilly alternative rock classic guitar tennessee acoustic,122.55,-7.86,0.0,0.0,4,1,214.1
Unworthy of His Love,Oak Ridge Boys,classic country united states male vocalist country christian gospel tennessee old timey group folk-country,90.73,-19.36,0.0,0.0,9,1,116.2
Armageddon's Raid,Belphegor,black metal blackened death metal death metal doom metal heavy metal italian disco sympho black metal chill-out extreme metal avantgarde metal,116.9,-2.03,0.0,0.0,1,1,308.8
De rien,Les Ogres De Barback,chanson gypsy jazz chill-out musette ska melodic death metal folk rock easy listening world music dub,99.84,-10.82,0.0,0.0,9,0,189.9
Darling_ I Want To Destroy You,AFI,post-hardcore alternative rock emo punk rock hardcore alternative electronic pop metal,157.94,-4.35,0.0,0.0,1,1,223.3
On Probation,Youves,dance-punk jazz los angeles british experimental european zxzw dance black punk,142.0,-7.01,0.0,0.0,7,1,235.2
Let It Be Me,Dionne Warwick,brill building pop quiet storm ballad easy listening motown disco soul jazz smooth jazz soul jazz,87.45,-18.06,0.0,0.0,3,1,226.6
It's Personal,Lennie Tristano,free jazz cool jazz jazz bebop ragtime piano blues free improvisation requiem blues post-bop,119.09,-22.23,0.0,0.0,8,1,463.4
Sleepy Man Blues,Bukka White,delta blues country blues blues blues-rock ragtime texas blues chicago blues bluegrass electric blues louisiana blues,96.0,-22.51,0.0,0.0,6,1,159.0
Plaisance-Fox,Emile Vacher,chanson musette easy listening gypsy jazz jazz world music oldies pop swing folk,227.24,-9.59,0.0,0.0,3,1,173.2
I Go to the Rock,The Rambos,southern gospel gospel christian piano southern soul country vocal,128.87,-11.17,0.0,0.0,0,1,226.3
We Three Kings,The Roches,singer-songwriter folk-pop close harmony folk rock contemporary folk female vocalist folk soundtrack jazz rock,135.01,-13.21,0.0,0.0,2,0,329.5
The End. [Live In Mexico],My Chemical Romance,emo pop punk screamo alternative rock punk grunge hard rock pop rock classic rock rock,92.64,-9.1,0.0,0.0,7,1,154.3
Here We Are,Dallas Holm,ccm gospel inspirational contemporary christian christian male vocalist contemporary vocal hymns singer,167.46,-15.78,0.0,0.0,9,1,270.0
Me quedo sin ti,Julio Iglesias Jr.,j pop tech house dancehall hip hop downtempo electronic pop house reggae latin,100.52,-4.82,0.0,0.0,2,1,244.5
Bonjour,Jacques Douai,chanson,120.56,-18.5,0.0,0.0,9,0,42.4
Guns And The Young,Mighty Mighty Bosstones,ska punk skacore ska massachusetts grunge celtic pop punk rock reggae hardcore punk,143.26,-7.98,0.0,0.0,9,1,142.7
Jesus Loves Me (Now More Than Ever),Russ Taff,ccm southern gospel southern rock pop rap country rock ballad soft rock blues pop rock hip hop,146.62,-9.41,0.0,0.0,2,1,158.7
Lo Decidio,Orquesta Aragon,charanga mambo bolero salsa latin jazz jump blues east coast blues hard bop merengue rumba,116.68,-9.81,0.0,0.0,0,1,160.5
Judgement Begins With The House Of God,STEVE CAMP,ccm christian rock religious music piano rock rock pop vocal acoustic classic rock male vocalist,110.06,-17.92,0.0,0.0,0,1,223.5
